user_name,name,bio,location,followers,following,verified,posts,url
severniy76,Північний ,,ישראל,,,True,,https://twitter.com/severniy76
oksanatserkovna,Oksana Tserkovna,"Free Creator,
Author of scientific research.",Entertainment & Recreation,,,False,,https://twitter.com/oksanatserkovna
stunnedhare,Stunned Hare,"Бухаємо й офігіваємо...
Й занотовуваэмо злочини руззні",Odesa UKR | Connecticut USA,,,False,,https://twitter.com/stunnedhare
mhrtssblck,степова квітка,temporary on recovery,Kherson,,,False,,https://twitter.com/mhrtssblck
kolymus,Igor,,Estonia,,,False,,https://twitter.com/kolymus
blaaaaaant,blaaaaant,fuck u,Київ,,,False,,https://twitter.com/blaaaaaant
plavniksvetlan3,Plavnik Svetlana,,,,,False,,https://twitter.com/plavniksvetlan3
vivion01,Ярослава,,,,,False,,https://twitter.com/vivion01
nidzels,Жанвальжан,,,,,False,,https://twitter.com/nidzels
martensnews,MARTENS,,Украина,,,False,,https://twitter.com/martensnews
scorpej,Евгеній.,З Україною в серці.,,,,False,,https://twitter.com/scorpej
mmakarrr,Гелій,,,,,False,,https://twitter.com/mmakarrr
zhuker,Alex Zhukov,,,,,False,,https://twitter.com/zhuker
slaffchick,Viacheslav Fietisov,,Universum,,,False,,https://twitter.com/slaffchick
💥Pummelzacke💥,,,,,,False,,https://twitter.com/💥Pummelzacke💥
npeteckij,,,,,,False,,https://twitter.com/npeteckij
gordieievartem,Artem Gordieiev,"We are all looking for the once lost light… Teacher, philosopher, Human…",Education,,,False,,https://twitter.com/gordieievartem
merient97,Marianna,Перемога,,,,False,,https://twitter.com/merient97
y_yukhnovskiy,Yuriy Yukhnovskiy,,,,,False,,https://twitter.com/y_yukhnovskiy
Єгорка,,,,,,False,,https://twitter.com/Єгорка
george61016976,George Лубрикатор,,,,,False,,https://twitter.com/george61016976
timvan_online,Timvan,,Россия,,,False,,https://twitter.com/timvan_online
eugene62431695,Jurgen,,,,,False,,https://twitter.com/eugene62431695
_untermensch_,Дима-Серёжа,Ещё не умер,,,,False,,https://twitter.com/_untermensch_
privalovakatya,Катя,,,,,False,,https://twitter.com/privalovakatya
agidulyan,,,,,,False,,https://twitter.com/agidulyan
dinozavtr,Кукухолог,,Russia,,,False,,https://twitter.com/dinozavtr
Агент Ківі,,,,,,False,,https://twitter.com/Агент Ківі
dosvidod,досвидод,yu dnot hurrr rathan heenda heenda poorrr rathan na doo da poh rathatteka doo da poorrr rat da,"Tallinn, Estonia",,,False,,https://twitter.com/dosvidod
aiaoeu,вуле ву куше,,"Republic of Sakha, Russia",,,False,,https://twitter.com/aiaoeu
